City,Name,City (listed),Category,Has website/social,Has address,Dupe?,Unsourced fields,Flags,Verify (Google Maps),Keep / Edit / Remove,Founder notes
Atlanta,A Pot To Plant In,Smyrna,retail-gifts,yes,yes,,,metro-area,https://www.google.com/maps/search/?api=1&query=A%20Pot%20To%20Plant%20In%20Smyrna,Keep,
Atlanta,Anwuli Eyewear,Atlanta,fashion-apparel,yes,NO,,,no-address,https://www.google.com/maps/search/?api=1&query=Anwuli%20Eyewear%20Atlanta,Keep,
Atlanta,Bankhead Seafood,Atlanta,food-dining,NO,yes,,,no-website,https://www.google.com/maps/search/?api=1&query=Bankhead%20Seafood%20Atlanta,Keep,
Atlanta,Black Art In America Gallery & Gardens,East Point,arts-culture,yes,yes,,,metro-area,https://www.google.com/maps/search/?api=1&query=Black%20Art%20In%20America%20Gallery%20%26%20Gardens%20East%20Point,Keep,
Atlanta,Black Visionary Studio,Atlanta,photography-videography,yes,NO,,,no-address,https://www.google.com/maps/search/?api=1&query=Black%20Visionary%20Studio%20Atlanta,Keep,
Atlanta,BLK FRVR,Atlanta,fashion-apparel,yes,NO,,,no-address,https://www.google.com/maps/search/?api=1&query=BLK%20FRVR%20Atlanta,Keep,
Atlanta,Bomb Biscuit Co.,Atlanta,food-dining,yes,NO,,,no-address,https://www.google.com/maps/search/?api=1&query=Bomb%20Biscuit%20Co.%20Atlanta,Keep,
Atlanta,Brave + Kind Bookshop,Decatur,books-publishing,yes,yes,,,metro-area,https://www.google.com/maps/search/?api=1&query=Brave%20%2B%20Kind%20Bookshop%20Decatur,Keep,
Atlanta,Chapter Ave Productions,Atlanta,creative-media,yes,NO,,,no-address,https://www.google.com/maps/search/?api=1&query=Chapter%20Ave%20Productions%20Atlanta,Keep,
Atlanta,Conley Realty Group,Decatur,real-estate,yes,yes,,,metro-area,https://www.google.com/maps/search/?api=1&query=Conley%20Realty%20Group%20Decatur,Keep,
Atlanta,Cutz By Black,Atlanta,beauty-grooming,NO,yes,,,no-website,https://www.google.com/maps/search/?api=1&query=Cutz%20By%20Black%20Atlanta,Keep,
Atlanta,Dawn's of Essence Salon,Lawrenceville,beauty-grooming,yes,yes,,,metro-area,https://www.google.com/maps/search/?api=1&query=Dawn's%20of%20Essence%20Salon%20Lawrenceville,Keep,
Atlanta,Design OCD,Atlanta,home-living,yes,NO,,,no-address,https://www.google.com/maps/search/?api=1&query=Design%20OCD%20Atlanta,Keep,
Atlanta,Fender Bender's Autobody & Collision Repair,Jonesboro,automotive,yes,yes,,,metro-area,https://www.google.com/maps/search/?api=1&query=Fender%20Bender's%20Autobody%20%26%20Collision%20Repair%20Jonesboro,Keep,
Atlanta,Gilly Brew Bar,Stone Mountain,food-dining,yes,yes,,,metro-area,https://www.google.com/maps/search/?api=1&query=Gilly%20Brew%20Bar%20Stone%20Mountain,Keep,
Atlanta,Gymnetics Fitness East,Atlanta,wellness-health,NO,yes,,,no-website,https://www.google.com/maps/search/?api=1&query=Gymnetics%20Fitness%20East%20Atlanta,Keep,
Atlanta,Honor Roll Clothing,Atlanta,fashion-apparel,yes,NO,,,no-address,https://www.google.com/maps/search/?api=1&query=Honor%20Roll%20Clothing%20Atlanta,Keep,
Atlanta,InterSearchMedia,Snellville,social-media-marketing,yes,yes,,,metro-area,https://www.google.com/maps/search/?api=1&query=InterSearchMedia%20Snellville,Keep,
Atlanta,Jimerson Tax and Accounting,Atlanta,legal-financial,yes,NO,,,no-address,https://www.google.com/maps/search/?api=1&query=Jimerson%20Tax%20and%20Accounting%20Atlanta,Keep,
Atlanta,Juci Jerk,Stone Mountain,food-dining,yes,yes,,,metro-area,https://www.google.com/maps/search/?api=1&query=Juci%20Jerk%20Stone%20Mountain,Keep,
Atlanta,Just 4 Girls Salon,Marietta,beauty-grooming,yes,yes,,,metro-area,https://www.google.com/maps/search/?api=1&query=Just%204%20Girls%20Salon%20Marietta,Keep,
Atlanta,Kupcakerie,East Point,food-dining,yes,yes,,,metro-area,https://www.google.com/maps/search/?api=1&query=Kupcakerie%20East%20Point,Keep,
Atlanta,Local Green Atlanta,Atlanta,food-dining,NO,yes,,,no-website,https://www.google.com/maps/search/?api=1&query=Local%20Green%20Atlanta%20Atlanta,Keep,
Atlanta,Lov'n It Live,East Point,food-dining,yes,yes,,,metro-area,https://www.google.com/maps/search/?api=1&query=Lov'n%20It%20Live%20East%20Point,Keep,
Atlanta,Merritt & Merritt Law Firm,Decatur,legal-financial,yes,yes,,,metro-area,https://www.google.com/maps/search/?api=1&query=Merritt%20%26%20Merritt%20Law%20Firm%20Decatur,Keep,
Atlanta,Myavana,Atlanta,technology,yes,NO,,,no-address,https://www.google.com/maps/search/?api=1&query=Myavana%20Atlanta,Keep,
Atlanta,Paradise Park ATL,Atlanta,wellness-health,yes,NO,,,no-address,https://www.google.com/maps/search/?api=1&query=Paradise%20Park%20ATL%20Atlanta,Keep,
Atlanta,Soul Vegetarian,Atlanta,food-dining,NO,yes,,,no-website,https://www.google.com/maps/search/?api=1&query=Soul%20Vegetarian%20Atlanta,Keep,
Atlanta,SR Law Group,Douglasville,legal-financial,yes,yes,,,metro-area,https://www.google.com/maps/search/?api=1&query=SR%20Law%20Group%20Douglasville,Keep,
